fen,eval_cp
1nbqkbnr/1p1p1ppp/r1p5/4P3/P3P3/R6P/1PP2PP1/1NBQK1NR b Kk - 0 8,415
r2r4/ppk4p/2n1Ppp1/8/Np2P3/3Pb1KP/8/1R3BNR b - - 1 24,143
r1b1k1r1/pppqp2p/3p3b/5R2/Q1P2P2/5P2/PP1P3P/RNB1KB2 b Q - 0 15,543
2r3nr/p7/2p1k3/P3Pp1p/2b2P2/B4RPP/3K4/8 b - - 5 33,592
8/pp6/8/6b1/2k3P1/6P1/7r/5K2 w - - 6 38,-756
rnbq1bnr/3ppkpp/ppp5/8/1P5P/3PP3/P1P1K1P1/RNBQ1BNR b - - 0 8,88
5nrn/1p4b1/R6p/1P3k2/2p1pB2/2P3P1/4K2N/8 w - - 6 41,-354
r1bqkbnr/pppp1ppp/n3p3/8/3P4/1P6/P1P1PPPP/RNBQKBNR w KQkq - 0 3,92
1r2kr2/4p1pp/pp6/1qpPP3/2B1p1b1/1Q4nP/PP1P4/RNB3K1 w - - 0 17,383
5b1r/p1pk1pBp/5r1n/8/7P/7b/P2P3K/R5NR w - - 1 22,254
5b2/B3kpp1/4p3/4K1P1/1P3P2/2P5/4N3/7R w - - 1 40,764
r1b5/pp2k1pr/5p2/2pp1P2/RQPP4/5P2/1P4P1/1NB1KB2 b - - 0 18,-396
2b1r3/5p2/2k5/b3p1Np/2ppP1nK/N4P2/8/4B3 b - - 1 32,825
rn1k4/pQp4r/6p1/6P1/P3pp2/7B/3PPP2/b1B2K2 b - - 3 19,-415
8/1R6/p4k2/3pp3/P2b1p2/6P1/8/1N3K2 w - - 1 33,427
8/2pkn3/b4N2/3p1R2/1p5p/4P2P/8/6K1 b - - 0 31,249
2k3n1/2p5/2N3p1/8/2P1P2P/b1n4K/8/8 w - - 1 41,-479
5b1r/5k2/R5pp/8/3PpP2/2N4N/5P2/5K2 w - - 1 35,529
rnb1kb1r/p1ppq1pp/1p2p2n/5p2/1P6/2N1KP1P/P1PPP1P1/R1BQ1BNR b kq - 3 6,800
1n2q3/r7/5k2/3n3p/1b1P1P2/4R2P/5P2/1b2K1N1 w - - 4 31,-1117
r1b5/2k1n3/ppr5/2p3N1/Q1n2BPp/P1P3bP/1P2PP2/R3KB1R b - - 13 26,-510
4kbn1/p7/8/P1P1pp2/p1bPpB2/2R4r/5P2/1N1BK1NR b K - 1 23,-102
4kn2/6p1/1R1p1p1p/p1pb1P2/P6P/3PP3/2P5/2BQ2K1 b - - 0 24,-675
1rb1k2r/4b3/1p1pp3/1p4p1/1P2P1P1/B5P1/P2P3R/2R1K3 w - - 2 25,403
rn3b2/1k4p1/p7/P1pP1P2/7q/5N2/1B2K3/8 b - - 0 34,836
r1b1k1n1/1p1q3r/p1p1p1pp/P3PP2/1P3P2/N4N2/5KPP/1RB2B1R w q - 0 16,371
3rkbnr/4p3/2p5/8/1p2p1P1/2N5/1RPB4/4K1N1 b - - 2 24,539
1n1q3r/3pk3/6n1/2P1p3/1P2P1PP/5P2/2rbNK2/RN6 b - - 7 23,757
4r1nr/4n1kp/pp1Qp1p1/2R5/P4P2/6PN/RPP5/2BK4 w - - 1 26,716
r7/1p5k/r1n5/p6p/P3K3/2N5/1PP3P1/1RB5 w - - 5 30,-234
1nbk4/1p3p2/2p3nr/3p2p1/2BP2N1/1Pb2PP1/2P1K1R1/R7 b - - 3 26,517
r2nk3/p1p1n2r/4p3/1R6/Pb6/2BP2P1/1PP1P1K1/1R1Q1B2 w q - 1 23,594
R7/p7/n4p2/4k2B/2P5/PP4N1/3B4/b2K4 w - - 1 40,884
rn6/3p2p1/p1b5/p4n2/PP1p2k1/4P1P1/3P3K/1NBQ1R2 b - - 0 35,-690
3r4/p3k1pp/8/3BPp2/Pb5P/3KP1R1/5P2/4r3 w - - 7 38,-419
r1B1k3/pp3N2/6p1/4P2p/3Q4/2P2K2/1b1N3P/R1B4R w - - 1 29,1104
