fen,eval_cp
r2k1bnr/3pp1p1/p1b2p2/1Pn4p/2P4N/B5P1/3PP2P/RN1Q1BK1 w - - 0 16,781
rn2k1r1/5p1p/8/Ppb1p3/4P2P/P2p3N/3P1PB1/R1B1K1R1 w Q - 0 16,391
r1b4r/2ppkp2/1pn4n/p3q2p/7P/2P1P1P1/Rb1P1P2/1NB1KBNR w K - 0 13,-598
1n3k2/r7/p7/3Pp2r/1PP4b/P7/8/R3K1N1 w - - 2 39,-632
rnbqkbnr/p1ppppp1/7p/8/1Pp5/P5P1/3PPP1P/RNBQKBNR b KQkq - 0 4,142
7k/8/2pp1p2/5P1p/4R2P/6r1/1R6/5K2 w - - 0 38,622
4k2b/r3p2N/3p2p1/2p2p2/P1P2P2/RP5n/3P4/1NB1K3 w - - 4 29,232
rn1q1b1r/2p1k1pp/p2P1p1n/8/pP2p3/B1P5/3PNP1P/RN2K2R b KQ - 0 14,744
r1bq3r/p2nk2p/1p1p1n2/6p1/2B1Pp2/P1P3P1/1P1P4/RNBK2R1 w - - 1 19,-628
6r1/pk6/n2P3p/8/2P1P3/3Q3b/PB1P1K2/8 w - - 0 37,765
rn1qkbnr/p1p1ppp1/1p6/3p1b1p/1P1PP3/6PP/P1P1BP2/RNBQK1NR w KQkq - 1 7,597
r1b2b2/p1n1p1k1/1p6/3p4/2PN1P2/8/P2K4/1R3B2 w - - 0 30,-319
rnb2B2/1k1p3r/p1p2np1/1P3Q2/6pP/P6N/1P2PP2/RN2KB1R b KQ - 1 17,-587
2q1kb1r/4pppp/r6n/1p2p3/5P2/1NP5/1P5P/R1B2KR1 b k - 1 17,812
8/3k4/r3p1pb/8/p1pPp3/P3PP2/1P2K2P/R1B4R b - - 0 29,-522
r3k3/1b2b1pr/p5pn/3qP3/n7/1P2PNP1/3N1P1P/R1BK3R b q - 1 19,819
8/p4p1r/P7/2p2knp/8/2P5/4P1B1/K7 w - - 0 38,-654
rnb1k1n1/p2p1ppr/1pp5/2P4p/5p2/NP1P2q1/3KP3/R1BQ2N1 b q - 0 14,606
rnb1k1nr/p2p1ppp/1ppB3q/4P3/6P1/2P4R/P3PP2/R2QKBN1 w Qkq - 1 12,569
rnbqkb1r/pppp1ppp/4p3/7n/1P1N4/P7/2PPPPPP/RNBQKB1R b KQkq - 0 4,16
8/R5k1/7p/4P2p/6p1/6P1/4PP1P/3K3R b - - 4 36,-772
6k1/2p1p2p/3p1p2/r2P4/1q2P1b1/3N1r2/PK6/8 w - - 4 34,-870
rnb1kbnr/pp1p1p1p/6p1/2p1pqP1/8/3P1P1P/PPPNP3/R1BQKBNR w KQkq - 1 7,46
rnbqk1nQ/2p1p2p/1p1p2p1/p4p2/2P2P2/4P3/PB1P2PP/RN2KBNR w KQq - 0 10,873
rnb1k1n1/p1Bp1p2/2p5/1p3qp1/2P4p/2NP4/PP2PKPP/R2Q1B1R w q - 2 14,550
2r2n1r/p1p5/2Bpkp2/P5Pp/RQ1P1P2/1PP5/8/1N1K1R2 b - - 0 34,-1097
r1bn1br1/1p1pp1pp/p2k1p2/8/3nP1PP/PP1P1P2/2P5/RN1QKBNR w KQ - 1 12,755
rnbq2nr/3p1k1p/pp2p1p1/2p5/P3PP2/4R2B/1bPP3P/1NBQK1NR b K - 1 13,117
r2q3r/p1p3p1/p2k3p/4pb1n/2P5/3B3N/1P1P1P1P/1NB1K2R w K - 0 18,-429
1nb1k3/5pbr/2ppN3/7p/1pN3pq/r5PB/P2PPP1P/R1QK3R w - - 0 21,614
1nB4r/rpp4k/R1pB3p/1p4p1/1P2p3/7P/K3N3/7R b - - 0 27,454
rnbqkbr1/pp1ppppp/1n6/2p5/8/1PPPP3/P2Q1PPP/RNB1KBNR w KQq - 0 6,87
2r3nr/p1pN4/2k1Pp2/6p1/2P5/P6p/3P4/2R1K2N w - - 0 28,-390
7r/7k/1p1rn3/2p5/Pn1p4/1P3P2/3K4/RN6 b - - 1 40,795
1rb4k/1p5r/5q1n/2p2p1B/8/4P2p/2P2P2/3K2N1 w - - 0 28,-922
6n1/5k1B/1R2p1pp/4B3/6pb/8/8/5K2 b - - 1 36,-286
6nr/2p2p1R/6k1/8/4bp2/b7/P3K3/3r2N1 w - - 14 37,-637
r1k4r/p1pp3p/4p2n/1b3p2/1n6/P2PB3/1P2P1PP/R3QK1R w - - 0 17,597
r1bqkbr1/p1p1pp2/2pp2pp/8/3P4/P1P4N/1P3nPP/RNBQK2R w KQq - 0 10,281
r2k1bn1/p2bp1B1/8/2p3pp/1P6/1P1Q4/4PP1P/1N2KBR1 b - - 3 21,-623
2r5/3bbk1p/n2pp3/Q4p2/2Pp4/4PP2/1P3NPP/1N2KBR1 w - - 1 20,589
rnbqkbnr/1pp1pp1p/6p1/pB1pP3/7P/8/PPPP1PP1/RNBQK1NR b KQkq - 1 4,-6
3k4/8/8/3p4/2p1P3/p1K4p/2P4P/3R2N1 b - - 1 37,-716
rn5R/ppk5/4K3/2p2p2/2P1NP2/3n4/PP2B3/R1B1r1N1 b - - 4 32,-131
1rbqkb1r/ppppppp1/n4n2/7p/P7/1PP2P1P/3PP1P1/RNBQKBNR b KQk - 0 5,119
1nb2Bnr/1p1kbq1p/5p2/1PpPp3/4P2P/1P5N/2P3P1/3K1B1R b - - 2 17,767
5b1r/rp2pk2/2np4/p1p2n2/3P3P/4K2R/P1P1PP2/RN1Q4 w - - 2 17,335
3r1b2/4k1pN/1p4p1/4Kp2/1Pp4P/n3P1P1/P4P1R/7R w - - 2 35,322
2b1k2r/7p/p3pp2/P7/4KP2/2N5/1n2pN1P/5B1R w - - 0 28,117
rnbqkbr1/1p1pp1pp/p1p2p2/7Q/N3P3/6P1/PPPP1P1P/R1B1K1NR b KQq - 1 7,-90
rn1qkbnr/p1p1pp2/3p3p/3N2P1/4P1b1/3P4/2p1Q1PP/1RB1KBNR w Kkq - 2 12,225
rnbk2nr/pp3p1p/2ppp3/8/6PR/1P1P4/P1P1PP2/1R2KBN1 w - - 1 13,-458
1rbqk3/ppBpn3/5p2/4p2p/7P/1P3P2/P1PN4/R2QKB1r w Q - 0 18,466
rnbqkbnr/ppp3pp/3pp3/1B2N3/1P5P/4p3/P1PP1PPR/RNBQK3 b Qkq - 1 7,343
4k1n1/8/3R3n/rr3p2/4P3/3P1QP1/4K2P/5BNR w - - 1 37,514
rn2k1nR/p2pbp2/bp2p3/2p3B1/3P4/5N2/PPP1PPP1/RN1QKB2 w Qq - 1 8,1146
r1b1k2r/2p1n1pp/pp3p2/3pn3/1PN5/2PP1NKP/P3PP2/R1B4R w - - 5 21,182
6rr/5k2/1p1p3p/p6n/P7/1P1PP3/2K1NP2/8 b - - 3 30,736
1nbk4/1r1Np3/p6b/5p1p/P6P/8/7R/RN2KQr1 w - - 1 29,581
r1b1kn1r/bpp2ppp/4P3/p2P4/5BP1/1P1p3P/P7/1R1K1BNR b - - 0 23,80
7R/3k4/6P1/b1pP2B1/6p1/8/2P1NK2/1N6 w - - 2 37,917
1n3br1/1pp1pk1p/1r1q2p1/8/P1Pp1P2/R4P2/1P1P1R2/2BQ1K2 w - - 1 19,-449
rnb4r/4n2p/4kp2/2b5/3p1pP1/BPPK3N/7P/5BR1 b - - 0 23,767
rn1k1b1r/ppp1p3/5n2/5p2/3p1PB1/7N/3q3P/RNB1K2R w KQ - 0 18,-419
2B1k3/p4p2/2p2p1b/6B1/4P3/P7/PRP3P1/4K1NR b K - 3 25,-944
3k4/5pb1/P1n4n/P1p4p/2p5/3P4/7q/5K2 w - - 1 33,-974
3r1bn1/2p1p3/pp6/7k/1Pn1P3/2NN2p1/P1P3P1/R1B1K3 w - - 5 26,111
r1bqk2r/pppppp2/2n5/7n/2P5/NP1BP3/P2PQPPP/b1B1K1NR b Kkq - 1 9,404
1q4N1/2p4n/2Pp2pb/8/1P4k1/8/3PKP2/2B5 w - - 1 35,-509
3nk1r1/1b2n1pp/1p3p2/2P5/5p2/3P1N2/2K2P1P/1NB1R3 w - - 1 23,4
rn2kbnr/1pp1pppp/4q3/p2p4/6QP/4PP2/PPPP2PR/RNB1K1N1 b Qkq - 0 8,145
rnbqkbnr/pppp1p1p/8/4p1p1/P7/5NP1/1PPPPP1P/RNBQKB1R b KQkq - 1 3,-25
1k6/1r6/2R5/N3Br2/P1P4p/3P4/1P6/1RK5 b - - 4 36,-510
rnb1k1nr/1ppp2p1/5p1p/8/1RP1q1P1/3P3N/1P1N1P1P/2BK1B2 w kq - 1 15,-336
rn1qkbnr/ppp1pppp/8/8/2BpP3/6P1/PPPP1P1P/RNBbK1NR b KQkq - 1 5,633
1n3bn1/4p3/1p1Nk1pr/8/r1P2P2/2R5/1PKB4/8 w - - 0 38,-531
2bk1b1r/1p2n1pp/4p3/2B5/5Pp1/1P1P4/5K1P/5BR1 b - - 0 25,523
r2k1b2/ppp1ppp1/8/2pq1b2/2QB3r/2P2PP1/PP1KP2R/RN3BN1 w - - 2 19,786
r3kb1r/2p2p1p/p2p1np1/P7/1P2P3/6q1/2P1K2P/RN2BR2 w kq - 1 20,-275
2b4r/1p1nnkp1/1p4Bp/8/2P2P2/4KP2/PP1N3P/R1B4R b - - 3 19,-435
r1bq2kr/n1p1p3/3p1np1/8/1P5P/4P3/P2P4/R1BKR3 b - - 0 25,984
rnbqkb1r/pp1ppppp/5n2/2p5/8/4P1P1/PPPPQP1P/RNBK1BNR w kq - 5 5,-83
rnbqkb1r/pp1ppppp/8/2P4n/8/1P2B2N/P1P1PPPP/RN1QKB1R w KQkq - 1 6,150
8/1B5r/P6p/p3Pk2/5p2/b2Pn2P/PP1K3R/8 w - - 2 28,439
1n5r/1p2n1k1/3N2p1/5p2/1PP5/r7/5Pb1/2R1K1N1 w - - 0 27,-611
rn3k1r/pppq1p1p/4p2b/1b1p2p1/6P1/N4P1N/PPP5/R1B1K1R1 w - - 0 14,-672
3k1b1r/4p1pp/3n3n/P1p1Np2/5P1P/6P1/P1KBN3/R6b w - - 1 33,338
3n3r/1p1b2k1/8/1P2p2p/2P1pP1P/b1Nr2P1/2n2K2/R5NR b - - 1 27,835
r5r1/2p3bp/3k4/p2p1n1P/3P1p2/P1P2p1K/5R2/8 w - - 0 35,-884
2bq1knr/r1ppb3/4pppp/1B6/1P1P4/2P1P1PP/1P1B1P2/1N1QK1NR b K - 0 12,132
6r1/4k1p1/2p5/3P2p1/R2PPP1P/7K/6n1/8 b - - 0 40,74
rn1q2n1/4p3/1k1p3r/pPQ2R2/4bPP1/P7/1P1P4/RNB1K3 b Q - 0 22,761
8/r7/4N2k/p1p5/8/4P2N/P1P5/2R1K3 w - - 1 40,687
3k1q2/3B4/n3Pp1n/6pp/2r4P/3P2PR/P3NP2/2R1K3 w - - 0 27,340
rnbqkb1r/1ppppp1p/6p1/p7/3P2n1/5N2/PPP1PPPP/RN1QKB1R w KQkq - 2 5,-531
1n1krb2/4p3/4P2p/p4B2/P2q1P2/B3P3/R3b3/4K3 w - - 5 31,0
3kr2r/4n3/1pp1pB1p/6p1/6P1/1P2P2P/P1P2P2/RNK3NR w - - 1 21,802
rnbqkbnr/ppp2ppp/4p3/3p4/6PP/2P5/PP1PPP2/RNBQKBNR b KQkq - 0 3,91
rnb2k1r/1ppp2pp/8/4pp2/1p5q/1QPBnR2/3P1PP1/RN2K1N1 w Q - 0 14,381
4r2r/p2n4/3p2P1/5p1p/pPP1p3/7R/RK6/5Bk1 b - - 3 31,183
rnb2q2/1ppp1k2/p1n3pb/2P1p3/P4BP1/R2P4/1P3P2/1NN1KBr1 w - - 4 18,-779
3k4/1b5p/3p4/3rqp2/P1p2P1P/1P1P4/8/2Q2BKR w - - 4 40,548
6rn/p4pr1/P3k3/4p3/1Pp2N2/2K1P3/N4P2/3R4 b - - 1 33,373
8/1b2k3/N1pp3p/6r1/4P3/R4P2/2PPB3/2Q1K3 w - - 1 30,667
r1b1k1nr/p1Rp1ppp/np1bp3/8/3P4/5Pq1/PPPKP1P1/R1BQ1BN1 b kq - 2 10,760
2q2b1r/rpk1p2p/p1n3pn/3p2p1/P5B1/1pP1PP2/1B1P3P/RN2QK1R w - - 1 20,533
rnbqkbn1/1ppppppr/7p/p7/8/5N2/PPPPPPPP/RNBQKBR1 b Qq - 1 4,-30
rn1k1b1r/p3pppp/1p3n2/1b1p4/4P3/6PP/PPPP1P2/RNBQKB1R w KQ - 0 8,823
r2qk3/pp1b2rp/2p1p1n1/3p4/3P1P2/B6N/PPP3PP/R3KB1R b KQq - 0 14,450
1n3b1r/8/1p1k4/1Kp1p1Pp/1R2P3/2P1RP1N/P5P1/8 b - - 0 29,12
1nb1k1n1/3p4/rpp1p3/6Pr/p1N1P3/1P2BBP1/P1P3K1/1R6 w - - 0 20,549
rnbqk1nr/pp2ppbp/8/3p4/1p1P4/6P1/P1P1PP1P/RN1QKBNR b KQkq - 0 5,669
rnbqkb1r/pppp1ppp/4pn2/8/1P6/7P/P1PPPPP1/RNBQKBNR w KQkq - 0 3,-43
rnbqkbr1/p1p2ppp/1p1p1n2/3p4/PP5P/8/2PPPPP1/RNBQKB1R b KQq - 0 7,481
8/R2r4/3pp1pN/6k1/8/P7/1PP1PP2/RN1K4 w - - 1 29,913
2b5/1pk3p1/8/1PB5/3P4/8/B6r/1n2K2R w K - 6 36,539
7r/3n2pp/2pB4/1p2pk2/8/2p5/7P/R4K2 b - - 0 32,585
5b2/2k2pp1/4Bn1r/1pp5/4p2N/2P5/1P1QPP2/4K3 b - - 1 22,282
1n1Rkb2/6p1/8/1pp2P2/1PP4p/7N/7P/4K2R b - - 1 31,-363
8/1p6/R7/R2n1p1k/2P4p/1P3P2/3P3P/1NBK3R w - - 3 33,1067
5Nn1/n5b1/2k1r3/8/3p4/5q2/3P4/3K1B2 w - - 0 41,-911
rn1q1b2/2p1kp2/3ppnp1/pQ4P1/8/P1P1P1P1/1P1P1P2/RNBK2Nr w - - 4 14,-209
rnb1kbnr/ppp1pppp/8/1q6/P2P4/N4P2/1PP1P1PP/R1BQKB1R w KQkq - 1 7,764
2b3n1/7p/nN2p1p1/3p1p2/Pbk3P1/7P/R2PPP1R/3K1BN1 b - - 1 22,-584
rn1qkb1r/pp2pppp/2pp1n2/8/2PP4/N3P1Pb/PP1B1P1P/R2QKBNR w KQkq - 1 7,690
8/R3n3/5k1B/2K2P2/8/RP6/2P5/1N6 b - - 10 35,-895
4k3/2n2p2/1N4p1/p7/P2p4/3P4/4PK1r/2R1QBNR w - - 0 25,1149
r4b2/4k3/p1p5/2Pp1p2/5P2/3PPRKN/P7/1N6 b - - 1 29,-461
rnb1kbnr/p1ppq1pp/1p3p2/4p3/8/2NP1PPP/PPP1P3/R1BQKBNR w KQkq - 0 6,71
6nr/p2pk2p/q7/1r3p1R/8/3P2P1/1p1KPP2/4Q1N1 b - - 1 24,1032
1r5r/2p2p1p/bpk1pnp1/p5N1/8/4PP2/PPPR2PP/R3K3 w - - 1 21,-412
3k4/7N/2p5/R2p2Pr/2PP4/4K1P1/7P/2B4R b - - 1 34,-801
r1b5/n2p1k1r/8/1Pp4p/1b1N1P2/3B2pR/N7/2K5 w - - 9 33,-313
r1bqkbnr/ppp3pp/4pp2/3p4/4PP2/3Q4/PPPB2PP/RN2KBNR w KQkq - 0 7,555
1rb3r1/3k1p1p/2N3pb/1pp5/2P1P2R/1P6/1P1KNPP1/3R1B2 w - - 1 20,478
r2qkbnr/2p1ppp1/3p3p/pp2n3/4P1bP/3PB3/PPP1BP1R/RN1QK1N1 b Qkq - 1 8,128
6nr/5p2/3r2pp/2NpPk2/3P4/1p6/P4KbP/7R w - - 0 36,-398
1n2kb1r/4pp1P/1Q1p3n/2p5/8/8/PPPP3P/RNBKr1NR w k - 2 16,774
rnbqk1nr/pp6/2p2ppp/3p1p2/Pb5P/4P3/1PPP1PP1/RNBK1BNR w kq - 1 8,-671
3rk3/2p5/np2Nnpr/P6p/2P5/5NP1/P2PP2P/R1BK3R w - - 0 24,772
rn2k1nr/4b3/pp3ppp/2P5/1PB4P/N2KPP1b/P5P1/2B3N1 b - - 5 21,679
2b1kb1r/1p1pqNpp/n1p2p1n/r3p3/p3P3/P2B1P2/RPPPK1PP/1NBQ2R1 b k - 7 10,634
1nb3nr/1pk5/4P1pp/1R6/8/r4P2/PBPPB1P1/5KN1 b - - 2 25,-280
7r/p1r1p2p/6p1/2P1n3/P1k2K2/2P3PP/8/5BR1 b - - 2 31,385
r7/p2pkPQ1/b7/1p3p1r/1b5p/2P1q2N/PPK1P2P/R1B2B1R w - - 1 20,5000
8/2n1k3/r4p2/3P4/1R1QbB2/7P/4K3/8 w - - 2 39,885
1B2k1n1/8/4Npp1/2Q5/2P1b2r/N2P4/PP3K2/7R w - - 0 27,5000
1B4k1/2N5/3p4/3P1K2/n3P3/7B/P2Q4/7R b - - 2 39,-5000
1n2k1n1/8/8/p1p5/PpP1p1P1/4K2r/5R2/2B3R1 w - - 1 40,346
r1b1kbnr/1pp1p3/B3pp2/n6p/4P3/P4P2/1PPN2PP/R1BQK1R1 b Qkq - 0 9,-480
5b1r/p3pp1p/3k4/2N3p1/2PnB1n1/6PK/Pr1P3P/R1B3R1 w - - 0 21,450
rnb2bB1/ppqkpp2/8/P5N1/2p1pP1R/N1PBP3/1PQ5/R1B1K3 b Q f3 0 20,-652
r1b4r/pppk1ppp/n3p3/6N1/2p5/B3K2P/Pq2PPP1/5B1R w - - 4 16,-485
1nbqkbnr/rppppppp/8/p7/7P/3P4/PPP1PPP1/RNBQKBNR w KQk - 1 3,108
1r3knr/2Rn3p/1p5p/4p3/2B1P2P/1P6/K4PP1/6R1 b - - 6 27,177
rn2k1nN/2pp3p/8/p5B1/p7/P1Pb1P1P/1P2P2R/1R2bKN1 b q - 0 20,104
rnb1k1r1/1p3p2/p3p1p1/2Pp2PP/2P5/P6N/R2PP1BP/1NB1K2R b K - 0 16,-779
rnb2bnr/p2pk3/1P6/4p1pp/4P1PP/N4N2/P1PPKP1R/R2Q1B2 b - - 1 12,-620
rnbqkbnr/1ppppp1p/8/p5pQ/2B5/4P3/PPPP1PPP/RNB1K1NR b KQkq - 1 3,90
1n6/1k6/p6n/5r1P/p2p4/P4KPP/N5B1/2R5 w - - 0 37,408
k4N2/8/2P4p/8/3p1P2/1P3KP1/3BP3/5B2 w - - 0 41,963
1n6/r1kQ4/2p1p3/p7/3bKPp1/1PP5/P5P1/1R5r b - - 1 36,614
5k2/8/5p2/8/3p4/4P3/1P1Bn1K1/1N6 w - - 0 40,446
rnbqkbnr/p2p2pp/2p1pp2/1p6/P4N2/4P3/1PPP1PPP/RNBQKB1R w KQkq - 0 5,315
r1bq2n1/1p2k3/2p3p1/p2Rp3/5bP1/8/PNPP1P2/R1B2KN1 b - - 0 18,747
r3k3/p1p1n3/1p3b2/5p2/PBp5/3R2p1/bP5r/4KB1R b Kq - 1 22,878
rn2q3/5kp1/6pr/1p6/1N6/3P1PP1/PP5P/1R2K1NR w K - 6 22,-512
6k1/5n1p/B1P5/5p2/5PP1/P7/RK1P4/2B5 w - - 0 41,904
2b4r/rp4kp/4p3/3Q1n2/Pb6/2P3P1/P4P1P/2K2BR1 b - - 1 35,672
4kbBr/3rp3/5p2/p1p4p/p2N4/2K1PP2/PP1P3P/RNB5 b k - 1 23,452
r2k4/p2np3/1p1pP1Nn/PPp3b1/1PB5/5K2/3P1PP1/RNB2Q1r b - - 2 19,-517
rnb1k2r/pp1ppnbp/8/5pP1/2N5/3P2PN/PPPQPP2/R3KB1R b KQkq - 0 11,-621
2b5/5k2/1n3Pp1/pP6/7Q/1PbP3P/6BR/4K3 w - - 1 39,645
r1b1kbnr/pp1p3p/n7/2p1p3/5q2/1P2P1N1/P1PP2P1/R1B1KBNR w KQkq - 0 11,191
r1bqkb1r/pppppppp/5n2/2n5/2P5/1QN5/PP1PPPPP/R1B1KBNR w KQkq - 5 4,33
r3kNnr/1p2pppp/p2p4/2p2P2/2q1P3/7P/2P1Q1P1/1NB2K1R w kq - 2 16,626
rn2kb2/p2p4/b5pn/1pp1p1N1/2P1p3/PP1P1N2/RQ1B1K1P/5B1R b q - 3 17,-657
2b1kbnr/1p1q2pp/8/4p1BP/1Np1P3/1Q6/4R3/1N2KB1R b - - 0 20,329
r7/8/5k2/3p4/Ppp1bP2/4B1P1/8/1n1B1K2 w - - 2 37,-511
B1n2k2/5Q2/5b2/p3pP2/P3P1p1/8/1B1NK1R1/2b2R2 b - - 1 37,-863
1r2qbnr/p1pppk1p/3P4/5Np1/1p6/4P3/PPPKbPPP/RNB2BR1 b - - 0 14,598
r1bqkb2/2pQp3/np6/p7/P5P1/RRP3PN/4P3/1rB1KB2 b q - 0 18,475
rnb1kbnr/p1pp3p/1p4p1/8/3P1B2/2P5/PP1N2PP/1RK2BR1 b kq - 1 14,312
rnbqk1nr/ppppppbp/6p1/8/8/N4P2/PPPPP1PP/R1BQKBNR w KQkq - 1 3,-74
rn1qkb1r/p1p1p3/3p3p/1p3p1p/QPN4P/3P2P1/P3PP1R/1R2KBN1 w kq - 0 12,599
1rbk4/3pb3/3p4/3r4/NppB2P1/P7/RK2P2P/5BR1 w - - 0 31,278
k4b1Q/p2pp3/br5n/1pp5/3P3p/1P2P3/PBP1BPP1/3RK3 w - - 4 24,1017
r1b2k2/p2pp1r1/npp2p2/8/4PBp1/NP5N/P3KPPP/R2Q3R w - - 0 14,845
4r1n1/3k4/R1p5/2b1p3/4Ppp1/8/2K1bP1R/1N6 b - - 3 40,676
3k4/4n1b1/5N2/p5Pr/P6p/7P/4P1BK/5R1R w - - 1 31,681
7R/4k2p/2pN2pn/8/1P5P/4P2p/2K5/4R3 b - - 0 36,-574
rnb2knr/1R1p1p2/3N2pp/2p1p3/6P1/3q4/1BP1PKR1/3Q1BN1 b - - 0 21,419
2r2k2/3p4/1N2P2p/8/4r3/1B3N2/8/4K3 w - - 3 41,-22
2rk1bnB/3ppQ2/1p6/p1p5/P5p1/1PP4N/R4PPP/1N3K1R b - - 1 23,-858
1nb1k2r/rp1p3p/2p5/2b1p1p1/1P2Pp1P/P2P1N2/4KnP1/RNBQ3R w k - 0 16,542
1r3knr/B1p3pp/b3p3/1p1N4/3P4/PP2K3/2P1P1P1/2RQ1BN1 w - - 0 20,782
2b2b1r/1p1nnkpp/8/3P1p2/2B1P3/4q1PP/rPKP1P2/R1B3R1 w - - 1 20,-547
rnbq2nr/ppppk1p1/4pp1p/8/7P/NP3N1R/2PPPPP1/R1BQKB2 b Q - 1 6,-537
r4b2/p2kBn2/6p1/1P1P4/1P4PP/N4P2/P2P4/R3KB1R w KQ - 1 23,909
rnr4k/1b1p4/pp3P2/8/2PN2P1/8/PB1P1K2/3R4 b - - 4 36,26
4kbnr/1P2p3/R5p1/5p1p/2BB4/7P/1n3PK1/1N5R w - - 8 33,5000
rnbqkbnr/1p1pp2p/p1p5/5pp1/2PP1P2/7P/PP2P1P1/RNBQKBNR w KQkq - 0 5,252
8/7k/1p1p4/3P1ppp/3P1P1P/1R6/4NP2/1K6 w - - 0 34,816
2b2nn1/6kr/8/2p4p/K4P2/3PP3/4B1PP/4R2R w - - 4 27,252
5k1r/8/3Bp3/7p/7p/3pNK2/8/4b3 b - - 1 37,521
r1b1kbnr/pp3pp1/nqp5/3pp2Q/4P3/2P3PN/PP1P1P1P/RNB1KB1R w KQkq - 0 7,265
rnbqkbn1/pp1ppp2/8/2p4r/2P2P2/8/PPQPP1P1/RNB1KBN1 b Qq - 2 6,479
r3k3/6p1/pp1Bp2n/n4p2/1b6/1PP5/P2QPPPr/RN2KBN1 b Qq - 2 14,-619
5nk1/3p4/R2P4/1p1p4/3B2p1/8/3K3P/8 w - - 0 36,511
1rb1kbnr/p1pp1ppp/n3p3/1p4q1/6PP/4P3/PPPP1P2/RNBQKBR1 b Qk - 0 6,479
2N2r2/7p/2p1pk2/8/1P6/P6N/5K1P/5B2 b - - 0 37,-98
r1b5/pp2n3/4k2r/1Pp2p1p/2K4P/4p2R/PP4P1/RNB2B2 b - - 0 22,-12
1q2k2r/7p/3b4/8/PpPpb3/N7/4R1p1/6K1 b - - 4 31,5000
6r1/7p/n2b1ppk/2p1p3/p3P3/P5Pb/R4P1P/1N2K2R w K - 0 24,-429
rnbqkb1r/ppp1pppp/7n/3p4/4P2P/8/PPPP1PP1/RNBQKBNR w KQkq - 0 3,63
r1bqkbnr/pppppp1p/6p1/8/2PP4/P2P4/RPQ2PPP/1NB1KBNR b Kkq - 1 7,-521
3r4/1R1n1k1B/8/p3p3/5B2/5K2/P1P1PP1r/8 w - - 0 37,610
3k2nb/p7/2rp1p1B/P4P2/2PPr3/R1N3P1/1P6/6K1 w - - 3 35,-46
rn2nbr1/p3p2p/7k/8/8/5N2/1PPN2PP/3K4 b - - 3 23,761
r3kb1Q/p4p2/2p3p1/4p3/1P6/7b/PP1PNP1P/RNB1K2R b KQq - 0 14,-742
2krqb1r/2p3p1/2P2n2/pp3p1P/bP3p2/B4N1B/P2PP3/3RK1R1 b - - 4 22,647
r7/1pk5/p4p1n/2p5/P6p/1PP3b1/1B6/6NK b - - 2 33,728
1r1qk2r/p1ppp2p/n7/n6P/bp3N2/4K3/P1P3PR/b1B2B2 b k - 0 22,991
4k3/5p1p/8/1K2N2P/3Q4/2P5/8/4R1r1 w - - 1 36,5000
rnbqk1nr/pppp1p2/4p3/6Pp/1P6/2N5/1bPPPPP1/R1BQKBNR b KQkq - 0 6,323
B3rN2/2pb4/5p2/1N1p1k2/p7/3K1P2/PPPP2nr/R1B4R b - - 2 23,386
7r/p2p1kp1/B4p1n/2p1p2p/2P1N3/Pr3P2/1R1P1KPP/2B3NR w - - 2 19,918
4kb2/1p3pp1/3BR3/6Pb/2rP2QP/R4N2/1P6/1N1K4 b - - 0 26,-5000
n2k3r/8/3Bpp1p/1b4p1/6P1/4P3/P4P1P/6KR b - - 0 24,460
1k6/r7/4N1p1/1n1p2rp/pb5P/2P4R/P6K/5R2 w - - 8 33,191
r1bqk1r1/p1p1p1bp/2p2np1/5p2/1PP5/4PN2/P1nP1PPP/RNB1K2R w KQq - 1 13,-908
1nb1k2r/1p1p1p1R/r2P4/5nP1/p7/2bK1P2/q3P1P1/RN3BN1 b k - 2 18,5000
r6r/2k2p2/b1p5/p1p3Bp/7P/3n3P/P3N1K1/1R5R w - - 0 28,-251
2r1k1n1/7r/Ppp4b/1B1pp2P/7q/4P1P1/NPP4K/R3Q1NR w - - 1 23,665
r4knr/pp4b1/2Qq1p2/4p2p/PP3P2/N1PP1B2/3P2b1/R1B1K1N1 b - - 2 20,621
rn2k2r/p1pp1p2/1p2p1pn/3b3p/Pb5q/7P/2PPPPPR/R1BQKBN1 w Qkq - 0 10,-521
1n6/rp1b4/3k4/P2N1pPR/P7/2Nr4/8/1K6 b - - 4 38,345
r2qkbnr/p1p1p2p/1p1p4/P4pP1/1n6/N2bPN2/1BPP2PP/R2QKB1R w KQkq - 5 10,724
1nb3nr/1pp2N1p/4pkp1/1p2P3/8/r2P3P/3PKPP1/5BNR b - - 0 16,713
r5r1/2p4p/2n1k3/pP3pB1/1b6/P7/6BP/RN1bK1NR w KQ - 0 23,485
8/pp3pp1/3k4/Pp2pB2/1P6/1P3n2/4PP2/2K4R w - - 3 34,700
rnb3nr/pp1p1pp1/2pk3p/8/P1B1PN2/5N2/1PPb2PP/R1BK1R2 b - - 0 13,-171
5knr/1b1p4/2p1q2p/p3N1pR/3PP3/2P2P2/Pb5P/RNBK4 b - - 0 24,505
1n2kb2/4pp2/8/r6p/P2P2r1/3PP3/3B2qP/R3K2R w - - 1 24,-663
rnbk1bnr/ppq1p1p1/3p2B1/P1p4p/3N4/6P1/1PPPPP1P/RNBQKR2 b Q - 8 9,370
